Gender,Race,Age,City,State,Weapon,Relationship,Solved,KMeans_Cluster,GMM_Cluster,DBSCAN_Cluster
Male,White,19,Polk,Florida,Handgun,,Yes,1,2,-1
Male,,30,New London,Connecticut,Handgun,,Yes,1,1,-1
Male,Black,48,Mecklenburg,North Carolina,Handgun,Stranger,Yes,0,3,-1
Male,Black,32,Los Angeles,California,Firearm,Stranger,Yes,1,3,-1
Male,White,52,Albany,New York,Blunt Object,,No,0,2,-1
Male,Black,16,McCurtain,Oklahoma,Handgun,Acquaintance,Yes,1,3,-1
Male,Black,23,Cuyahoga,Ohio,Handgun,Stranger,Yes,1,2,-1
Male,White,44,Davidson,Tennessee,Handgun,Stranger,Yes,0,2,-1
Male,Black,26,Orange,Florida,Firearm,,No,1,2,-1
Male,Black,34,Dade,Florida,Knife,,Yes,1,2,-1
Male,Black,17,Milwaukee,Wisconsin,Handgun,Acquaintance,Yes,1,2,30
Male,White,30,Bexar,Texas,Firearm,,No,1,2,-1
Male,Black,53,New York,New York,Handgun,,No,0,2,7
Male,White,41,Andrew,Missouri,Blunt Object,Acquaintance,Yes,0,4,-1
Male,White,19,Outagamie,Wisconsin,Blunt Object,Friend,Yes,1,1,-1
Male,White,17,Mecklenburg,North Carolina,Handgun,,No,1,2,-1
Male,Black,34,Los Angeles,California,Handgun,,Yes,1,3,27
Male,White,20,Cooke,Texas,Firearm,Stranger,Yes,1,1,-1
Female,Black,21,Duval,Florida,Shotgun,Wife,Yes,1,2,-1
Male,White,59,Cook,Illinois,Knife,In-Law,Yes,0,2,-1
Male,Black,42,Copiah,Mississippi,Handgun,Husband,Yes,1,3,-1
Male,White,40,Collin,Texas,Handgun,Ex-Husband,Yes,1,4,-1
,,0,Miami-Dade,Florida,,,No,1,4,-1
Male,White,40,Union,Illinois,Shotgun,,Yes,0,2,-1
Female,Black,39,Morehouse,Louisiana,Knife,Acquaintance,Yes,1,0,-1
Male,Black,23,Baltimore city,Maryland,Knife,Acquaintance,Yes,1,2,31
Female,Black,30,Wayne,Michigan,Handgun,Stranger,Yes,1,2,-1
Male,Black,19,Macomb,Michigan,Knife,Friend,Yes,1,3,-1
Male,White,21,Union,North Carolina,,,No,1,2,-1
Male,Black,30,Allegheny,Pennsylvania,Handgun,,No,1,2,32
Male,Black,32,Philadelphia,Pennsylvania,Handgun,Acquaintance,Yes,1,3,33
Male,Black,34,Portsmouth,Virginia,Handgun,,No,1,3,-1
Male,Black,35,Palm Beach,Florida,Handgun,,No,1,2,34
Male,White,39,Travis,Texas,Knife,Stranger,Yes,0,2,-1
Female,White,29,Sacramento,California,Knife,Acquaintance,Yes,1,2,-1
Male,White,45,Los Angeles,California,Knife,,No,0,2,35
Female,White,20,Dallas,Texas,Knife,,No,1,2,-1
Male,Black,18,Essex,New Jersey,Handgun,,No,1,3,36
Male,Black,19,Los Angeles,California,Handgun,,Yes,1,3,27
Female,Black,24,Allegheny,Pennsylvania,Handgun,Stranger,Yes,1,2,-1
Male,White,18,Los Angeles,California,Handgun,,No,1,2,16
Male,Black,28,Cuyahoga,Ohio,Rifle,Acquaintance,Yes,1,2,-1
Male,White,46,Jackson,Missouri,Handgun,Acquaintance,Yes,0,2,-1
Male,White,71,Davidson,Tennessee,Shotgun,,No,0,2,-1
Male,White,44,Los Angeles,California,Knife,Stranger,No,0,2,-1
Male,White,99,Watauga,North Carolina,,,No,0,2,-1
Male,Black,20,Cook,Illinois,Handgun,Acquaintance,Yes,1,3,28
Female,White,29,Wilson,Kansas,Handgun,Girlfriend,Yes,1,0,-1
Female,White,13,Travis,Texas,Strangulation,Acquaintance,Yes,1,2,-1
Male,Black,41,Saginaw,Michigan,Shotgun,Stranger,Yes,1,2,-1
Male,Black,32,Essex,New Jersey,Handgun,,No,1,3,36
Male,Black,37,Hamilton,Ohio,Handgun,Acquaintance,Yes,1,3,37
Male,Black,19,Lucas,Ohio,Handgun,,No,1,2,-1
Female,White,55,Washington,Pennsylvania,Blunt Object,Wife,Yes,0,2,-1
Male,Black,31,Hamilton,Ohio,Handgun,Acquaintance,Yes,1,3,37
Male,Black,32,Saginaw,Michigan,Handgun,,No,1,2,-1
Male,Black,36,Cook,Illinois,Handgun,Stranger,Yes,1,3,24
Male,Black,25,Edgefield,South Carolina,Handgun,Common-Law Husband,Yes,1,3,-1
Male,White,26,Essex,New Jersey,Handgun,,No,1,2,-1
Female,White,64,Sacramento,California,Blunt Object,,No,0,2,-1
Female,White,85,Woodford,Illinois,Blunt Object,Wife,Yes,0,2,-1
Male,White,16,Alameda,California,Knife,Neighbor,Yes,1,2,-1
Male,Black,43,Cook,Illinois,,,No,1,3,28
Female,Black,23,Montgomery,Alabama,Knife,Girlfriend,Yes,1,2,-1
Male,White,25,Los Angeles,California,Handgun,Friend,Yes,1,2,-1
Male,White,39,Horry,South Carolina,,Acquaintance,Yes,1,4,-1
Male,White,52,Calaveras,California,Knife,,No,0,4,-1
Male,Black,27,Montgomery,Maryland,Handgun,,Yes,1,2,-1
Male,Black,21,Shelby,Tennessee,Handgun,Stranger,Yes,1,2,-1
Male,White,28,Kern,California,Handgun,,No,1,2,-1
Female,Black,0,Hancock,Mississippi,Blunt Object,Family,Yes,1,4,-1
Male,White,71,Harris,Texas,Blunt Object,,No,0,2,-1
Male,Black,27,New York,New York,Handgun,,No,1,2,7
Male,Black,42,Wayne,Michigan,Shotgun,Acquaintance,Yes,1,3,-1
Male,White,30,Fresno,California,Handgun,,Yes,1,2,38
Male,White,32,Tarrant,Texas,Handgun,Stranger,Yes,1,2,-1
Male,Black,87,Harris,Texas,Blunt Object,Acquaintance,Yes,0,2,-1
Female,White,4,Polk,Florida,Knife,Acquaintance,Yes,1,2,-1
Male,White,28,Harris,Texas,Firearm,,Yes,1,2,-1
Male,Black,17,Delaware,Pennsylvania,Handgun,,No,1,3,-1
Male,White,53,Hancock,Mississippi,Blunt Object,Sister,Yes,0,4,-1
Male,White,76,Nueces,Texas,Knife,Stranger,Yes,0,2,-1
Female,White,27,Darke,Ohio,Shotgun,Wife,Yes,1,0,-1
Male,White,26,Arapahoe,Colorado,Knife,Acquaintance,Yes,1,1,-1
Female,White,17,Los Angeles,California,Handgun,,No,1,2,39
Male,Black,20,Franklin,Ohio,Handgun,,No,1,2,-1
Female,Black,42,Shelby,Tennessee,Handgun,Acquaintance,Yes,1,2,-1
Male,Black,17,East Baton Rouge,Louisiana,Firearm,,No,1,3,-1
Male,Black,29,East Baton Rouge,Louisiana,Handgun,Stranger,Yes,1,3,-1
Male,White,24,St. Louis,Missouri,Handgun,Stranger,Yes,1,2,-1
Male,Black,22,Cook,Illinois,Knife,Friend,Yes,1,3,-1
Female,White,16,Santa Clara,California,Firearm,Wife,Yes,1,2,-1
Male,Black,25,New York,New York,Handgun,,No,1,2,7
Male,Black,34,San Diego,California,Handgun,Acquaintance,Yes,1,2,-1
Male,Black,24,Jackson,Missouri,Handgun,,No,1,2,40
Male,Black,22,Dallas,Texas,Handgun,,No,1,2,23
Male,White,23,Cook,Illinois,Handgun,,No,1,2,41
Male,White,23,Tarrant,Texas,Handgun,Stranger,Yes,1,2,-1
Male,White,40,Gilpin,Colorado,Firearm,Stranger,Yes,0,4,-1
Male,Black,29,Wayne,Michigan,Handgun,,No,1,3,17
Male,Black,21,Orleans,Louisiana,Handgun,Stranger,Yes,1,2,-1
Male,Black,25,Los Angeles,California,Handgun,,Yes,1,3,27
Male,Black,23,Los Angeles,California,Handgun,,Yes,1,3,27
Male,White,63,Linn,Iowa,Blunt Object,Acquaintance,Yes,0,4,-1
Male,White,54,Caddo,Louisiana,Blunt Object,Acquaintance,Yes,0,2,-1
Male,Black,23,Wayne,Michigan,Handgun,,No,1,3,17
Male,White,23,Riverside,California,Handgun,Acquaintance,Yes,1,2,10
Male,White,34,Juneau,Alaska,Handgun,,No,1,4,-1
Male,Black,15,Orangeburg,South Carolina,Handgun,Friend,Yes,1,3,-1
Male,White,21,Hill,Texas,Handgun,Stranger,Yes,1,4,-1
Male,White,21,Chesapeake,Virginia,Firearm,Acquaintance,Yes,1,4,-1
Male,White,21,Monroe,New York,Handgun,Friend,Yes,1,2,-1
Male,White,29,Grady,Oklahoma,Shotgun,,No,1,1,-1
